,Style,Color
0,Cream Ale,4.83
1,Holiday/Winter Special Spiced Beer,15.64
2,American IPA,8.98
3,Belgian Blond Ale,4.57
4,American Pale Ale,8.0
5,Imperial IPA,6.33
6,Robust Porter,34.76
7,Bohemian Pilsener,3.61
8,Saison,6.25
9,Northern English Brown,12.56
10,English IPA,9.47
11,Traditional Bock,16.66
12,Premium American Lager,3.3
13,Belgian Golden Strong Ale,3.11
14,,29.4
15,Double IPA,5.67
16,Blonde Ale,3.82
17,Light American Lager,2.83
18,German Pilsner (Pils),9.89
19,American Brown Ale,20.59
20,Oatmeal Stout,42.09
21,Specialty Beer,40.0
22,American Amber Ale,8.48
23,Kölsch,2.85
24,Witbier,3.67
25,Weizen/Weissbier,4.05
26,Trappist Single,3.6
27,Russian Imperial Stout,50.0
28,Specialty IPA: Black IPA,39.95
29,Sweet Stout,35.08
30,Strong Scotch Ale,24.85
31,Belgian Tripel,5.14
32,American Stout,40.0
33,Belgian Pale Ale,5.93
34,Dark American Lager,17.67
35,Dry Stout,31.4
36,Belgian Dark Strong Ale,20.93
37,American Wheat or Rye Beer,6.38
38,Vienna Lager,11.92
39,Special/Best/Premium Bitter,13.23
40,Experimental Beer,6.53
41,Irish Red Ale,16.76
42,Old Ale,24.51
43,Extra Special/Strong Bitter (ESB),9.74
44,Winter Seasonal Beer,11.0
45,Standard American Lager,3.21
46,Wood-Aged Beer,37.22
47,Fruit Beer,10.43
48,British Golden Ale,6.52
49,Flanders Red Ale,15.25
50,Berliner Weisse,2.89
51,Oktoberfest/Märzen,12.91
52,Munich Helles,3.4
53,Classic American Pilsner,3.13
54,Gueuze,4.47
55,Brown Porter,24.79
56,American Light Lager,2.48
57,English Cider,7.17
58,Fruit Cider,11.54
59,Altbier,4.41
60,Spice  Herb  or Vegetable Beer,13.41
61,Southern English Brown,20.14
62,Other Smoked Beer,13.17
63,Belgian Dubbel,18.57
64,Cyser (Apple Melomel),6.74
65,Metheglin,4.29
66,Specialty IPA: Red IPA,16.41
67,Belgian Specialty Ale,20.19
68,Foreign Extra Stout,40.0
69,Braggot,9.72
70,Weizenbock,6.82
71,International Pale Lager,4.15
72,Common Cider,8.67
73,Imperial Stout,50.0
74,Strong Bitter,7.49
75,Dusseldorf Altbier,14.22
76,Bière de Garde,3.91
77,Dunkelweizen,15.39
78,Schwarzbier,21.36
79,Baltic Porter,36.68
80,Doppelbock,21.99
81,American Barleywine,15.13
82,Other Specialty Cider or Perry,22.96
83,Specialty IPA: White IPA,4.22
84,Mild,18.16
85,California Common Beer,8.89
86,American Wheat Beer,3.9
87,British Strong Ale,19.53
88,Other Fruit Melomel,13.2
89,Classic Rauchbier,15.74
90,Märzen,23.03
91,American Lager,2.58
92,Wee Heavy,14.03
93,Dry Mead,3.02
94,British Brown Ale,13.21
95,Weissbier,2.91
96,Clone Beer,21.75
97,Best Bitter,12.03
98,Standard/Ordinary Bitter,7.02
99,Czech Premium Pale Lager,4.65
100,Mixed-Fermentation Sour Beer,5.29
101,Scottish Heavy 70/-,22.0
102,English Porter,24.55
103,Czech Dark Lager,21.87
104,Roggenbier (German Rye Beer),14.29
105,Gose,4.0
106,Fruit Lambic,5.02
107,Sweet Mead,5.67
108,Australian Sparkling Ale,5.73
109,Maibock/Helles Bock,6.05
110,American Strong Ale,18.9
111,Specialty IPA: Belgian IPA,15.89
112,Mixed-Style Beer,9.11
113,North German Altbier,17.79
114,American Porter,23.74
115,Dortmunder Export,5.32
116,German Pils,2.84
117,Irish Stout,35.96
118,English Barleywine,16.13
119,Specialty IPA: Rye IPA,12.48
120,Scottish Export,15.73
121,Scottish Export 80/-,14.18
122,Tropical Stout,7.41
123,Eisbock,12.94
124,Semi-Sweet Mead,7.77
125,French Cider,2.7
126,Munich Dunkel,12.82
127,Specialty Smoked Beer,4.99
128,Open Category Mead,2.81
129,Wild Specialty Beer,4.36
130,Apple Wine,4.8
131,Czech Pale Lager,3.6
132,California Common,11.24
133,Flanders Brown Ale/Oud Bruin,19.15
134,International Amber Lager,7.95
135,Alternative Grain Beer,3.76
136,Scottish Light 60/-,15.34
137,Helles Bock,5.42
138,Lambic,4.98
139,Pre-Prohibition Lager,2.9
140,Ordinary Bitter,8.19
141,Wheatwine,10.86
142,Dunkles Weissbier,16.23
143,Straight (Unblended) Lambic,4.07
144,Kentucky Common,13.67
145,New England Cider,4.5
146,Pyment (Grape Melomel),0.0
147,Lichtenhainer,3.62
148,Irish Extra Stout,35.24
149,Rauchbier,14.04
150,Specialty IPA: Brown IPA,25.29
151,Kellerbier: Amber Kellerbier,11.9
152,Sahti,6.56
153,Oud Bruin,10.77
154,Piwo Grodziskie,3.01
155,Specialty Fruit Beer,7.56
156,Alternative Sugar Beer,0.0
157,Kellerbier: Pale Kellerbier,4.24
158,Classic Style Smoked Beer,19.78
159,Czech Amber Lager,8.75
160,Scottish Heavy,15.07
161,Traditional Perry,0.0
162,Festbier,4.82
163,Brett Beer,3.7
164,Dark Mild,14.7
165,London Brown Ale,36.46
166,Fruit and Spice Beer,13.76
167,German Helles Exportbier,3.09
168,Autumn Seasonal Beer,15.78
169,International Dark Lager,24.68
170,Roggenbier,17.16
171,Dunkles Bock,18.78
172,German Leichtbier,6.93
173,Scottish Light,28.7
174,Pre-Prohibition Porter,24.51
175,Specialty Wood-Aged Beer,50.0
