,Style,Color,,,
27,Russian Imperial Stout,50,Stouts & Porters,,1
73,Imperial Stout,50,Stouts & Porters,,2
175,Specialty Wood-Aged Beer,50,Stouts & Porters,,3
20,Oatmeal Stout,42.09,Stouts & Porters,,4
21,Specialty Beer,40,Stouts & Porters,,5
32,American Stout,40,Stouts & Porters,,6
68,Foreign Extra Stout,40,Stouts & Porters,,7
28,Specialty IPA: Black IPA,39.95,Pale & IPA,,8
46,Wood-Aged Beer,37.22,Brown & Other Dark,,9
79,Baltic Porter,36.68,Stouts & Porters,,10
165,London Brown Ale,36.46,Brown & Other Dark,,11
117,Irish Stout,35.96,Stouts & Porters,,12
148,Irish Extra Stout,35.24,Stouts & Porters,,13
29,Sweet Stout,35.08,Stouts & Porters,,14
6,Robust Porter,34.76,Stouts & Porters,,15
35,Dry Stout,31.4,Stouts & Porters,,16
14,,29.4,Brown & Other Dark,,17
173,Scottish Light,28.7,Brown & Other Dark,,18
150,Specialty IPA: Brown IPA,25.29,Brown & Other Dark,,19
30,Strong Scotch Ale,24.85,Brown & Other Dark,,20
55,Brown Porter,24.79,Stouts & Porters,,21
169,International Dark Lager,24.68,Brown & Other Dark,,22
102,English Porter,24.55,Stouts & Porters,,23
42,Old Ale,24.51,Brown & Other Dark,,24
174,Pre-Prohibition Porter,24.51,Stouts & Porters,,25
114,American Porter,23.74,Brown & Other Dark,,26
90,Märzen,23.03,Brown & Other Dark,,27
82,Other Specialty Cider or Perry,22.96,Specialty,,28
101,Scottish Heavy 70/-,22,Brown & Other Dark,,29
80,Doppelbock,21.99,Brown & Other Dark,,30
103,Czech Dark Lager,21.87,Brown & Other Dark,,31
96,Clone Beer,21.75,Specialty,,32
78,Schwarzbier,21.36,Brown & Other Dark,,33
36,Belgian Dark Strong Ale,20.93,Brown & Other Dark,,34
19,American Brown Ale,20.59,Brown & Other Dark,,35
67,Belgian Specialty Ale,20.19,Belgian & Spice,,36
61,Southern English Brown,20.14,Brown & Other Dark,,37
158,Classic Style Smoked Beer,19.78,"Reds, Alt, & Other Medium Body",,38
87,British Strong Ale,19.53,"Reds, Alt, & Other Medium Body",,39
133,Flanders Brown Ale/Oud Bruin,19.15,Belgian & Spice,,40
110,American Strong Ale,18.9,Strong Ales/Lagers,,41
171,Dunkles Bock,18.78,Belgian & Spice,,42
63,Belgian Dubbel,18.57,Belgian & Spice,,43
84,Mild,18.16,"Reds, Alt, & Other Medium Body",,44
113,North German Altbier,17.79,"Reds, Alt, & Other Medium Body",,45
34,Dark American Lager,17.67,Brown & Other Dark,,46
170,Roggenbier,17.16,"Reds, Alt, & Other Medium Body",,47
41,Irish Red Ale,16.76,"Reds, Alt, & Other Medium Body",,48
11,Traditional Bock,16.66,Standard Ales & Lagers,,49
66,Specialty IPA: Red IPA,16.41,Pale & IPA,,50
142,Dunkles Weissbier,16.23,White & Wheat,,51
118,English Barleywine,16.13,Brown & Other Dark,,52
111,Specialty IPA: Belgian IPA,15.89,Pale & IPA,,53
168,Autumn Seasonal Beer,15.78,"Reds, Alt, & Other Medium Body",,54
89,Classic Rauchbier,15.74,"Reds, Alt, & Other Medium Body",,55
120,Scottish Export,15.73,"Reds, Alt, & Other Medium Body",,56
1,Holiday/Winter Special Spiced Beer,15.64,Belgian & Spice,,57
77,Dunkelweizen,15.39,Belgian & Spice,,58
136,Scottish Light 60/-,15.34,"Reds, Alt, & Other Medium Body",,59
49,Flanders Red Ale,15.25,"Reds, Alt, & Other Medium Body",,60
81,American Barleywine,15.13,Brown & Other Dark,,61
160,Scottish Heavy,15.07,Brown & Other Dark,,62
164,Dark Mild,14.7,Brown & Other Dark,,63
104,Roggenbier (German Rye Beer),14.29,"Reds, Alt, & Other Medium Body",,64
75,Dusseldorf Altbier,14.22,"Reds, Alt, & Other Medium Body",,65
